video_url,precision_nlp,recall_nlp,f1_nlp,precision_ai,recall_ai,f1_ai
https://www.youtube.com/watch?v=3cs8S_urAXU,0.28,0.08,0.12,0.39,0.11,0.17
https://www.youtube.com/watch?v=TfycTZTb28g,0.6,0.38,0.46,0.4,0.25,0.31
https://www.youtube.com/watch?v=onrSt_tdWrk,0.12,0.09,0.11,0.25,0.18,0.21
https://www.youtube.com/watch?v=n_pWh9_5uw8,0.5,0.06,0.1,0.75,0.08,0.15
https://www.youtube.com/watch?v=O6DszTRTVZs,0.33,0.14,0.2,0.17,0.07,0.1
https://www.youtube.com/watch?v=1ABy5w7GR5k,0.21,0.1,0.14,0.14,0.07,0.09
https://www.youtube.com/watch?v=WErB95Brgbs,0.09,0.15,0.11,0.05,0.08,0.06
https://www.youtube.com/watch?v=9w6KdVw-KJk,0.5,0.56,0.53,0.6,0.67,0.63
https://www.youtube.com/watch?v=il9KFLvXVQs,0.25,0.04,0.07,0.0,0.0,0.0
https://www.youtube.com/watch?v=f3m-pEkbpnM,0.18,0.15,0.16,0.0,0.0,0.0
https://www.youtube.com/watch?v=LDQI2kgiHEI,0.33,0.07,0.12,0.0,0.0,0.0
https://www.youtube.com/watch?v=Dq8K0fHWLNk,0.25,0.06,0.1,0.5,0.12,0.2
https://www.youtube.com/watch?v=gaz05wj7st8,0.2,0.09,0.12,0.4,0.18,0.25
https://www.youtube.com/watch?v=3blAnN1h3JY,0.33,0.17,0.22,0.33,0.17,0.22
https://www.youtube.com/watch?v=igK-uqAMzMs,0.17,0.05,0.08,0.33,0.1,0.15
https://www.youtube.com/watch?v=ZQGoeqmWO5s,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=H2hQwvyn-c0,0.04,0.07,0.05,0.08,0.13,0.1
https://www.youtube.com/watch?v=w1z2qUBBRJY,1.0,0.06,0.11,0.0,0.0,0.0
https://www.youtube.com/watch?v=dVW4xRy5oKY,0.25,0.06,0.1,0.5,0.12,0.19
https://www.youtube.com/watch?v=J2yCAl6ZgxE,0.5,0.17,0.25,0.5,0.17,0.25
https://www.youtube.com/watch?v=joawvWWKW2c,0.0,0.0,0.0,0.25,0.05,0.09
https://www.youtube.com/watch?v=DxM7aFEGWrE,0.5,0.29,0.36,0.62,0.36,0.45
https://www.youtube.com/watch?v=jpkOPTH1_6s,1.0,0.44,0.62,1.0,0.44,0.62
https://www.youtube.com/watch?v=fVYschinwwc,0.5,0.29,0.37,0.6,0.35,0.44
https://www.youtube.com/watch?v=VHZitT0-fCY,0.3,0.16,0.21,0.6,0.32,0.41
https://www.youtube.com/watch?v=vgtS5tbn7E8,0.64,0.54,0.58,0.27,0.23,0.25
https://www.youtube.com/watch?v=-ejLbzFwHuo,0.25,0.17,0.2,0.62,0.42,0.5
https://www.youtube.com/watch?v=qcH7YzQniPM,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=WbZ7QcamCdc,0.6,0.18,0.27,0.6,0.18,0.27
https://www.youtube.com/watch?v=t37dFTci0-A,0.3,0.43,0.35,0.2,0.29,0.24
https://www.youtube.com/watch?v=GANHpP3PM2I,1.0,0.07,0.12,1.0,0.07,0.12
https://www.youtube.com/watch?v=5sRo6sEULqY,0.8,0.17,0.28,0.2,0.04,0.07
https://www.youtube.com/watch?v=wKr0MTSpLpA,0.5,0.25,0.33,0.5,0.25,0.33
https://www.youtube.com/watch?v=e_k7E5aciQ8,0.15,0.1,0.12,0.38,0.24,0.29
https://www.youtube.com/watch?v=-IdzMkiHM2w,0.2,0.07,0.1,0.4,0.13,0.2
https://www.youtube.com/watch?v=0Rj4Zf9D_IU,0.44,0.36,0.4,0.44,0.36,0.4
https://www.youtube.com/watch?v=2yX2jQefNkk,0.5,0.05,0.1,0.0,0.0,0.0
https://www.youtube.com/watch?v=bMactSaZWfU,0.6,0.15,0.24,0.8,0.2,0.32
https://www.youtube.com/watch?v=kVieMSQ4pRY,0.67,0.5,0.57,1.0,0.75,0.86
https://www.youtube.com/watch?v=7XwyZwlyS_Q,0.2,0.18,0.19,0.13,0.12,0.12
https://www.youtube.com/watch?v=iQjeQ_C-hDE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=_Y5pnY_hHGI,0.4,0.17,0.24,0.4,0.17,0.24
https://www.youtube.com/watch?v=n5co7tEXDS0,0.33,0.14,0.2,0.33,0.14,0.2
https://www.youtube.com/watch?v=hXUxvIn9Uis,0.0,0.0,0.0,0.33,0.12,0.18
https://www.youtube.com/watch?v=JcvOVPitzIQ,0.14,0.08,0.1,0.14,0.08,0.1
https://www.youtube.com/watch?v=UikPRyNLiG8,0.25,0.06,0.1,0.25,0.06,0.1
https://www.youtube.com/watch?v=pefY1x0GGGM,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=GLPWYnnsBuU,0.4,0.13,0.2,0.6,0.2,0.3
https://www.youtube.com/watch?v=NAb2gt-swIA,0.36,0.45,0.4,0.36,0.45,0.4
https://www.youtube.com/watch?v=09FFbpmKw6M,0.0,0.0,0.0,1.0,0.09,0.17
https://www.youtube.com/watch?v=fH7yUPQ9ucQ,0.67,0.15,0.25,0.67,0.15,0.25
https://www.youtube.com/watch?v=lys0dPNo7xg,0.8,0.17,0.29,0.4,0.09,0.14
https://www.youtube.com/watch?v=7d3Bb0zBtjs,0.67,0.5,0.57,0.83,0.62,0.71
https://www.youtube.com/watch?v=izomt9v_Q3w,0.12,0.08,0.1,0.25,0.15,0.19
https://www.youtube.com/watch?v=lKL9zpL1HGk,0.67,0.12,0.21,0.67,0.12,0.21
https://www.youtube.com/watch?v=3Sewut4eUCE,0.6,0.3,0.4,0.4,0.2,0.27
https://www.youtube.com/watch?v=VyyVDvm57-I,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=VPc06tNvATs,0.4,0.17,0.24,0.4,0.17,0.24
https://www.youtube.com/watch?v=PemNZ9Uu1ao,0.17,0.05,0.08,0.33,0.1,0.15
https://www.youtube.com/watch?v=xgGdfggLihs,0.33,0.15,0.21,0.17,0.08,0.11
https://www.youtube.com/watch?v=uerkjLNto8U,0.17,0.1,0.12,0.33,0.2,0.25
https://www.youtube.com/watch?v=XnIHCDCFM8w,0.17,0.17,0.17,0.33,0.33,0.33
https://www.youtube.com/watch?v=yI3X3AqRvX4,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=E3sSRE2iNiE,0.27,0.2,0.23,0.36,0.27,0.31
https://www.youtube.com/watch?v=HrnODGcZG6E,0.17,0.1,0.12,0.5,0.3,0.37
https://www.youtube.com/watch?v=XtKyxifaVGM,0.33,0.06,0.11,0.0,0.0,0.0
https://www.youtube.com/watch?v=4WO8D6xylNQ,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=7DCz1nCYuYo,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=50DF2ioy5gI,0.33,0.12,0.17,0.5,0.18,0.26
https://www.youtube.com/watch?v=EQN-8Jtp6vM,0.21,0.38,0.27,0.29,0.5,0.36
https://www.youtube.com/watch?v=Oewek_jsr08,0.33,0.08,0.13,0.33,0.08,0.13
https://www.youtube.com/watch?v=forb58jEWP4,0.2,0.06,0.09,0.2,0.06,0.09
https://www.youtube.com/watch?v=njZAQ9vapek,0.18,0.13,0.15,0.27,0.2,0.23
https://www.youtube.com/watch?v=405XQSpgwAE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=zCT-b7G9XZc,0.17,0.17,0.17,0.25,0.25,0.25
https://www.youtube.com/watch?v=IEccovX3qMs,1.0,0.33,0.5,0.75,0.25,0.37
https://www.youtube.com/watch?v=SI7MvEkPEcE,0.5,0.33,0.4,0.38,0.25,0.3
https://www.youtube.com/watch?v=ocv1i7eQ7eE,0.24,0.33,0.28,0.29,0.42,0.34
https://www.youtube.com/watch?v=0GeYkFBIPr8,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=l96WId4NMSU,0.83,0.56,0.67,0.83,0.56,0.67
https://www.youtube.com/watch?v=i70YNdbkes0,0.12,0.06,0.08,0.12,0.06,0.08
https://www.youtube.com/watch?v=2LXdg4ugraA,0.67,0.2,0.31,1.0,0.3,0.46
https://www.youtube.com/watch?v=zPcdFI5RKGg,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=W2qnwdaNOO0,0.22,0.1,0.13,0.22,0.1,0.13
https://www.youtube.com/watch?v=zEl0ainPX3w,0.07,0.12,0.09,0.1,0.19,0.13
https://www.youtube.com/watch?v=mgoHMyFXBVY,0.5,0.5,0.5,0.4,0.4,0.4
https://www.youtube.com/watch?v=5nItmVYD_zI,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=Cenlu9FxHpw,0.71,0.26,0.38,0.57,0.21,0.31
https://www.youtube.com/watch?v=l43jwJyu4ic,0.4,0.2,0.27,0.4,0.2,0.27
https://www.youtube.com/watch?v=FQU5kpmoJyY,0.04,0.05,0.04,0.08,0.1,0.09
https://www.youtube.com/watch?v=R9jF_7Ugld8,0.5,0.24,0.32,0.38,0.18,0.24
https://www.youtube.com/watch?v=WTs11PY9BEA,0.0,0.0,0.0,0.4,0.11,0.17
https://www.youtube.com/watch?v=UqrYPJjLBWs,1.0,0.26,0.42,1.0,0.26,0.42
https://www.youtube.com/watch?v=2xAm6R33iQ0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=ISNXziiqcYc,0.5,0.12,0.19,0.33,0.08,0.12
https://www.youtube.com/watch?v=S-LIHg25OdA,0.29,0.17,0.21,0.14,0.08,0.11
https://www.youtube.com/watch?v=7TPKfQ9xGfM,0.29,0.13,0.18,0.29,0.13,0.18
https://www.youtube.com/watch?v=wkmrGMqI0JU,0.0,0.0,0.0,0.2,0.05,0.08
https://www.youtube.com/watch?v=7wxZ44QL_5Q,0.19,0.16,0.17,0.06,0.05,0.06
https://www.youtube.com/watch?v=wl0d91achBE,0.4,0.2,0.27,0.6,0.3,0.4
https://www.youtube.com/watch?v=FoP9OhhZHjM,0.5,0.11,0.17,0.5,0.11,0.17
https://www.youtube.com/watch?v=AmuiUfZK6_E,0.5,0.27,0.35,0.5,0.27,0.35
https://www.youtube.com/watch?v=nX9VcFGNEq4,0.6,0.11,0.18,0.2,0.04,0.06
https://www.youtube.com/watch?v=3EgqVVY6gB8,0.2,0.08,0.12,0.6,0.25,0.35
https://www.youtube.com/watch?v=MOW9k_C4vFU,0.29,0.25,0.27,0.36,0.31,0.33
https://www.youtube.com/watch?v=AKje5iE6xWA,0.33,0.04,0.07,1.0,0.12,0.21
https://www.youtube.com/watch?v=vgyj0pDK_SU,0.25,0.07,0.11,0.5,0.13,0.21
https://www.youtube.com/watch?v=0TZpY4eclZo,0.18,0.12,0.14,0.27,0.18,0.21
https://www.youtube.com/watch?v=PW0IR4a16IE,0.71,0.36,0.48,0.71,0.36,0.48
https://www.youtube.com/watch?v=lTpCVzamEsY,0.71,0.38,0.5,0.57,0.31,0.4
https://www.youtube.com/watch?v=9d1PR4ujpvc,0.29,0.31,0.3,0.36,0.38,0.37
https://www.youtube.com/watch?v=QFOFyCOTb1o,0.67,0.5,0.57,0.5,0.38,0.43
https://www.youtube.com/watch?v=9BZfzF4jcjs,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=FR0XH-m6q6M,0.25,0.17,0.2,0.25,0.17,0.2
https://www.youtube.com/watch?v=Z1zrKv_Noj8,0.14,0.07,0.1,0.29,0.14,0.19
https://www.youtube.com/watch?v=4SW6nU-5QN8,0.11,0.09,0.1,0.22,0.18,0.2
https://www.youtube.com/watch?v=tUkhB-70vDw,0.25,0.1,0.14,0.25,0.1,0.14
https://www.youtube.com/watch?v=t4IdWQ06qZY,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=h22pRtmiHmM,0.14,0.06,0.09,0.14,0.06,0.09
https://www.youtube.com/watch?v=lj9OgGQ_QkY,0.0,0.0,0.0,0.08,0.04,0.06
https://www.youtube.com/watch?v=JLJfalLDwDI,0.2,0.03,0.05,0.0,0.0,0.0
https://www.youtube.com/watch?v=5RgH4TwHhMU,0.1,0.1,0.1,0.0,0.0,0.0
https://www.youtube.com/watch?v=B91Ke3yO5Gc,0.07,0.04,0.05,0.21,0.12,0.16
https://www.youtube.com/watch?v=IEzKsa_w-e8,0.5,0.42,0.45,0.5,0.42,0.45
https://www.youtube.com/watch?v=zA99Qn2T_9g,0.75,0.25,0.37,0.75,0.25,0.37
https://www.youtube.com/watch?v=wOry_U0qL50,0.25,0.25,0.25,0.12,0.12,0.12
https://www.youtube.com/watch?v=L8M6vAhUHFA,0.33,0.2,0.25,0.67,0.4,0.5
https://www.youtube.com/watch?v=XqycmRLZzPk,0.18,0.15,0.17,0.36,0.31,0.33
https://www.youtube.com/watch?v=S0RtlcKdEl8,0.33,0.14,0.2,0.33,0.14,0.2
https://www.youtube.com/watch?v=Tw3UO3J6PdE,0.57,0.36,0.44,0.43,0.27,0.33
https://www.youtube.com/watch?v=e-WHvJb7mg0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=-KdoY7lkAIU,0.25,0.08,0.12,0.75,0.23,0.35
https://www.youtube.com/watch?v=rYlof6Nfugk,0.25,0.11,0.15,0.5,0.22,0.31
https://www.youtube.com/watch?v=FqlXsknYoa0,0.3,0.33,0.32,0.4,0.44,0.42
https://www.youtube.com/watch?v=Pr6M6rQQRXg,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=HAuKDcxZ5E8,0.0,0.0,0.0,0.2,0.06,0.1
https://www.youtube.com/watch?v=7h84H0y3HTc,0.0,0.0,0.0,0.4,0.14,0.21
https://www.youtube.com/watch?v=Ng04tYPHHQ0,0.4,0.21,0.28,0.6,0.32,0.41
https://www.youtube.com/watch?v=YwQdpHeEAaQ,0.5,0.1,0.17,0.5,0.1,0.17
https://www.youtube.com/watch?v=LIJ1x1BllzQ,0.14,0.04,0.06,0.14,0.04,0.06
https://www.youtube.com/watch?v=84oopBo2qvk,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=CgZMswnvCBw,0.21,0.21,0.21,0.36,0.36,0.36
https://www.youtube.com/watch?v=mu5uiGxz-SE,0.21,0.21,0.21,0.36,0.36,0.36
https://www.youtube.com/watch?v=dEFg8M-O8BA,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=L0iVRyap3oc,1.0,0.33,0.5,0.67,0.22,0.33
https://www.youtube.com/watch?v=fg8N5y86cbE,0.08,0.08,0.08,0.25,0.23,0.24
https://www.youtube.com/watch?v=8XgcV4tVrfQ,0.43,0.16,0.23,0.14,0.05,0.08
https://www.youtube.com/watch?v=sWoSZmHsCls,0.12,0.15,0.13,0.06,0.08,0.07
https://www.youtube.com/watch?v=XAfjXfxWXbc,0.12,0.08,0.1,0.0,0.0,0.0
https://www.youtube.com/watch?v=_xy7usxTqM8,0.83,0.5,0.62,0.83,0.5,0.62
https://www.youtube.com/watch?v=fAaRpgAsokA,0.14,0.18,0.16,0.07,0.09,0.08
https://www.youtube.com/watch?v=Zm0wEvkavoY,0.0,0.0,0.0,0.17,0.05,0.07
https://www.youtube.com/watch?v=znpeiy5clfI,1.0,0.33,0.5,0.75,0.25,0.37
https://www.youtube.com/watch?v=--7o6El8Bfk,0.2,0.18,0.19,0.2,0.18,0.19
https://www.youtube.com/watch?v=0ePEp21h2Ts,0.2,0.07,0.11,0.4,0.14,0.21
https://www.youtube.com/watch?v=gO_ogjf459E,0.17,0.05,0.08,0.17,0.05,0.08
https://www.youtube.com/watch?v=W8gEKBayxFI,0.18,0.08,0.11,0.18,0.08,0.11
https://www.youtube.com/watch?v=CIoJdL3-gkU,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=s16zQ8MzOfs,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=tOJDnHU__Xk,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=PH5jWTI1tsE,0.29,0.12,0.17,0.43,0.18,0.25
https://www.youtube.com/watch?v=n0_gNQ0c3RE,0.25,0.13,0.17,0.12,0.07,0.09
https://www.youtube.com/watch?v=Yt0ciNEBP9Q,0.5,0.19,0.27,0.33,0.12,0.18
https://www.youtube.com/watch?v=oPQJqdftQKE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=seBvaQF42Oo,1.0,0.12,0.22,0.0,0.0,0.0
https://www.youtube.com/watch?v=-ua-HqRB_UE,0.5,0.22,0.31,0.5,0.22,0.31
https://www.youtube.com/watch?v=yO5L87HG9uA,0.07,0.05,0.06,0.07,0.05,0.06
https://www.youtube.com/watch?v=XuVraDslIKU,0.2,0.15,0.17,0.2,0.15,0.17
https://www.youtube.com/watch?v=myfGWbjltg0,0.6,0.1,0.17,0.0,0.0,0.0
https://www.youtube.com/watch?v=ROH0ACSW3zE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=zJMlxpZ3_ig,0.5,0.17,0.25,0.25,0.08,0.12
https://www.youtube.com/watch?v=OqTEQJS_GOo,0.25,0.06,0.1,0.5,0.12,0.19
https://www.youtube.com/watch?v=-JcbOyB5YoI,0.17,0.07,0.1,0.17,0.07,0.1
https://www.youtube.com/watch?v=tHq_mNIvtl0,0.0,0.0,0.0,0.27,0.31,0.29
https://www.youtube.com/watch?v=lBukRxTt_uA,0.14,0.14,0.14,0.07,0.07,0.07
https://www.youtube.com/watch?v=xm__6nQOAnw,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=LxzhHzMZsZ4,0.17,0.06,0.09,0.5,0.18,0.26
https://www.youtube.com/watch?v=RznoMSJjW-I,0.14,0.06,0.09,0.14,0.06,0.09
